task,playerCount,High,Medium,Low,strong,weak
Moral Reasoning,3,0,0,1,0.7207330159643301,1.0267505900865461
Moral Reasoning,3,0,1,0,0.5892668146433516,0.8154282735854522
Moral Reasoning,3,1,0,0,0.6660455460015678,0.9670469682052472
Moral Reasoning,6,0,0,1,0.7618210575995088,1.1757348342714198
Moral Reasoning,6,0,1,0,0.725588300720768,1.0854445109382274
Moral Reasoning,6,1,0,0,0.6767138162962415,1.0644324755635348
Allocating Resources,3,0,0,1,0.7033048054849463,1.2282629775680391
Allocating Resources,3,0,1,0,0.7786720694291456,1.422091013824885
Allocating Resources,3,1,0,0,0.7802684209684304,1.2196512025532886
Writing Story,3,0,0,1,0.9242695431588435,1.1007882882882882
Writing Story,3,0,1,0,0.901588993447896,1.0409652076318743
Writing Story,3,1,0,0,0.9546776172089313,1.0241858237547892
Divergent Association,3,0,0,1,0.9731808577238173,1.188184576673135
Divergent Association,3,0,1,0,0.9618932392030519,1.122173908629691
Divergent Association,3,1,0,0,0.9978512295674176,1.18885032149745
Writing Story,6,0,0,1,0.9194420586570631,1.1327327327327328
Writing Story,6,0,1,0,0.9582755346719727,1.1174074074074076
Writing Story,6,1,0,0,0.9469932601402355,1.0228352490421453
Allocating Resources,6,0,0,1,0.5924926296019453,1.1638661939263142
Allocating Resources,6,0,1,0,0.5177999359079735,1.0989010989010992
Allocating Resources,6,1,0,0,0.654488171739116,1.114433269910302
Divergent Association,6,0,0,1,0.8950296954628942,1.128625002513809
Divergent Association,6,0,1,0,0.99021097277055,1.184648777979572
Divergent Association,6,1,0,0,1.0070171863428818,1.2223756628365052
Room Assignment,3,0,0,1,0.8998276078930432,1.116620844788803
Room Assignment,3,0,1,0,0.8795720141257692,1.157028064758738
Room Assignment,3,1,0,0,0.9213924070935564,1.3460171669126892
Wolf Goat Cabbage,3,0,0,1,0.808922273485311,1.664618495761064
Wolf Goat Cabbage,3,0,1,0,0.8946559331500841,1.520893175569435
Wolf Goat Cabbage,3,1,0,0,0.9482680501446923,1.54341951957163
Guess the Correlation,3,0,0,1,0.9660110385515347,1.356149732620321
Guess the Correlation,3,0,1,0,0.7388672391240051,1.0316799103861098
Guess the Correlation,3,1,0,0,0.9204221757960358,1.2712757565239343
Sudoku,3,1,0,0,0.9134265423988068,1.0963547613610412
Sudoku,3,0,1,0,0.9393917354365442,1.1329942404069115
Sudoku,3,0,0,1,0.9622188778399174,1.0582530425963488
Room Assignment,6,1,0,0,0.8056637583532661,1.3035199238329922
Room Assignment,6,0,0,1,0.9327879805766283,1.1824793801549611
Room Assignment,6,0,1,0,0.8725489684014667,1.195918932826663
Wolf Goat Cabbage,6,0,0,1,0.9654178336321686,2.49212769030767
Wolf Goat Cabbage,6,0,1,0,0.9320651361089294,1.7422184701218615
Wolf Goat Cabbage,6,1,0,0,0.9777258076849326,1.7218360112333686
Guess the Correlation,6,0,1,0,0.6643665267262501,1.0383409428461414
Guess the Correlation,6,0,0,1,0.9487330049452016,1.459163059163059
Guess the Correlation,6,1,0,0,0.895989010372547,1.3698947124840912
Sudoku,6,0,0,1,1.0000101166637954,1.102941176470588
Sudoku,6,0,1,0,0.8982255696889457,1.185827910339841
Sudoku,6,1,0,0,0.8200576581767147,1.096164459161148
Whac a Mole,3,0,0,1,0.6746815668741143,1.1945193896767752
Whac a Mole,3,0,1,0,0.47034732629749115,0.8391130128278197
Whac a Mole,3,1,0,0,0.4557091954911546,0.8459033910556583
Word Construction,3,0,0,1,1.1886154344154978,2.2656423804226917
Word Construction,3,0,1,0,1.1994447934372927,1.9472379603399432
Word Construction,3,1,0,0,1.451378735927507,2.6255419075144504
Whac a Mole,6,0,0,1,0.20815303378169867,0.46344222601516305
Whac a Mole,6,0,1,0,0.13874189188301123,0.31268378264844693
Whac a Mole,6,1,0,0,0.1370773521783893,0.32321646064940784
Word Construction,6,0,0,1,1.3643736316731354,3.4308805418719213
Word Construction,6,0,1,0,1.2972798123153324,2.5478963382646107
Word Construction,6,1,0,0,1.6294137393672794,3.7341040462427753